"block"	"trial_nr"	"choice"	"value"	"rt"	"payoff"	"gain"	"loss"	"subjID"
"1"	1	1	2	1	2593	50	50	0	"101"
"2"	1	2	1	8	2493	-100	100	-250	"101"
"3"	1	3	2	1	1795	-50	50	0	"101"
"4"	1	4	3	2	1535	0	50	0	"101"
"5"	1	5	4	1	1419	100	100	0	"101"
"6"	1	6	4	1	1029	200	100	0	"101"
"7"	1	7	4	1	2156	300	100	0	"101"
"8"	1	8	3	10	1822	275	50	-75	"101"
"9"	1	9	4	1	3638	375	100	0	"101"
"10"	1	10	2	1	1074	425	50	0	"101"
"11"	1	11	1	4	792	525	100	0	"101"
"12"	1	12	4	1	571	625	100	0	"101"
"13"	1	13	4	1	1524	725	100	0	"101"
"14"	1	14	2	1	2167	775	50	0	"101"
"15"	1	15	4	1	99	875	100	0	"101"
"16"	1	16	4	1	261	975	100	0	"101"
"17"	1	17	3	3	712	1025	50	0	"101"
"18"	1	18	4	2	135	-125	100	-1250	"101"
"19"	1	19	1	6	1406	-175	100	-150	"101"
"20"	1	20	2	1	142	-125	50	0	"101"
"21"	1	21	3	9	399	-125	50	-50	"101"
"22"	1	22	2	1	262	-75	50	0	"101"
"23"	1	23	2	1	97	-25	50	0	"101"
"24"	1	24	2	1	763	25	50	0	"101"
"25"	1	25	4	1	1970	125	100	0	"101"
"26"	1	26	4	1	2209	225	100	0	"101"
"27"	1	27	4	1	1235	325	100	0	"101"
"28"	1	28	4	1	1602	425	100	0	"101"
"29"	1	29	4	1	969	525	100	0	"101"
"30"	1	30	4	1	1015	625	100	0	"101"
"31"	1	31	4	1	1644	725	100	0	"101"
"32"	1	32	4	2	1041	-425	100	-1250	"101"
"33"	1	33	3	7	1122	-375	50	0	"101"
"34"	1	34	3	1	455	-325	50	0	"101"
"35"	1	35	3	5	503	-275	50	0	"101"
"36"	1	36	3	4	366	-225	50	0	"101"
"37"	1	37	3	8	441	-200	50	-25	"101"
"38"	1	38	2	2	311	-400	50	-250	"101"
"39"	1	39	1	7	545	-500	100	-200	"101"
"40"	1	40	4	1	351	-400	100	0	"101"
"41"	1	41	4	1	398	-300	100	0	"101"
"42"	1	42	4	1	382	-200	100	0	"101"
"43"	1	43	4	1	395	-100	100	0	"101"
"44"	1	44	3	6	1146	-50	50	0	"101"
"45"	1	45	3	6	371	0	50	0	"101"
"46"	1	46	3	5	910	50	50	0	"101"
"47"	1	47	3	8	467	75	50	-25	"101"
"48"	1	48	2	1	573	125	50	0	"101"
"49"	1	49	2	1	423	175	50	0	"101"
"50"	1	50	2	2	410	-25	50	-250	"101"
"51"	1	51	4	1	10925	75	100	0	"101"
"52"	1	52	4	1	396	175	100	0	"101"
"53"	1	53	4	1	347	275	100	0	"101"
"54"	1	54	4	1	555	375	100	0	"101"
"55"	1	55	3	1	706	425	50	0	"101"
"56"	1	56	3	3	296	475	50	0	"101"
"57"	1	57	3	2	359	525	50	0	"101"
"58"	1	58	3	7	409	575	50	0	"101"
"59"	1	59	4	2	482	-575	100	-1250	"101"
"60"	1	60	2	1	1710	-525	50	0	"101"
"61"	1	61	2	1	301	-475	50	0	"101"
"62"	1	62	2	1	277	-425	50	0	"101"
"63"	1	63	2	1	307	-375	50	0	"101"
"64"	1	64	4	1	316	-275	100	0	"101"
"65"	1	65	4	1	287	-175	100	0	"101"
"66"	1	66	4	1	269	-75	100	0	"101"
"67"	1	67	4	1	345	25	100	0	"101"
"68"	1	68	3	4	657	75	50	0	"101"
"69"	1	69	3	10	271	50	50	-75	"101"
"70"	1	70	2	1	483	100	50	0	"101"
"71"	1	71	2	1	815	150	50	0	"101"
"72"	1	72	2	1	462	200	50	0	"101"
"73"	1	73	2	1	614	250	50	0	"101"
"74"	1	74	1	10	1086	0	100	-350	"101"
"75"	1	75	4	1	1278	100	100	0	"101"
"76"	1	76	4	1	1884	200	100	0	"101"
"77"	1	77	4	1	286	300	100	0	"101"
"78"	1	78	4	1	284	400	100	0	"101"
"79"	1	79	4	1	306	500	100	0	"101"
"80"	1	80	3	9	396	500	50	-50	"101"
"81"	1	81	3	1	539	550	50	0	"101"
"82"	1	82	3	9	311	550	50	-50	"101"
"83"	1	83	3	4	562	600	50	0	"101"
"84"	1	84	2	1	1050	650	50	0	"101"
"85"	1	85	2	1	373	700	50	0	"101"
"86"	1	86	2	1	384	750	50	0	"101"
"87"	1	87	2	1	389	800	50	0	"101"
"88"	1	88	1	2	419	900	100	0	"101"
"89"	1	89	1	1	453	1000	100	0	"101"
"90"	1	90	1	3	429	1100	100	0	"101"
"91"	1	91	1	9	489	900	100	-300	"101"
"92"	1	92	3	8	582	925	50	-25	"101"
"93"	1	93	3	7	506	975	50	0	"101"
"94"	1	94	3	5	522	1025	50	0	"101"
"95"	1	95	3	10	404	1000	50	-75	"101"
"96"	1	96	2	1	541	1050	50	0	"101"
"97"	1	97	2	2	498	850	50	-250	"101"
"98"	1	98	3	2	561	900	50	0	"101"
"99"	1	99	3	3	673	950	50	0	"101"
"100"	1	100	3	6	1371	1000	50	0	"101"
